,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure,Goal,Goal_Win
125974,cf0fc241-1826-4478-abde-b9780d25e125,13,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.5, 0.6]",Right Wing,"[106.0, 34.8]",1.186072,,Goal,Open Play,303731,,1,True
125976,29ac15b8-6cca-4b6d-8c16-d33e86c4912d,18,Barcelona,From Free Kick,Barcelona,Antoine Griezmann,"[110.0, 48.8]",Center Forward,"[109.2, 49.5]",0.149926,,Blocked,Open Play,303731,,0,False
125977,fc629f72-571d-4040-b502-d47a10e9d0fd,18,Barcelona,From Free Kick,Barcelona,Arturo Erasmo Vidal Pardo,"[118.2, 35.7, 1.4]",Left Wing,"[111.7, 23.7]",0.551778,True,Saved,Open Play,303731,,0,False
125978,5a29db99-e2a5-4d23-9d25-22a4a0b1a849,18,Barcelona,From Free Kick,Barcelona,Arturo Erasmo Vidal Pardo,"[120.0, 35.5, 1.3]",Left Wing,"[116.5, 27.8]",0.432234,,Off T,Open Play,303731,,0,False
125980,e43a2545-f307-4bb9-a810-01afb1498351,36,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.6, 0.2]",Right Wing,"[111.7, 27.3]",0.95612,True,Goal,Open Play,303731,,1,True
125981,1c0c7ac1-f01c-4f6d-9c51-3e97154fa119,39,Eibar,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 39.6, 0.3]",Right Wing,"[110.5, 43.7]",0.728709,,Goal,Open Play,303731,,1,True
125982,d02d18b5-6b39-4d95-a249-2a3af105d8e6,42,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[117.0, 37.6, 1.3]",Center Forward,"[108.5, 31.7]",0.379514,,Saved,Open Play,303731,,0,False
125983,fce2f470-5300-4e10-92b7-74389fc040e7,42,Barcelona,Regular Play,Barcelona,Sergio Busquets i Burgos,"[116.5, 38.9, 0.7]",Center Defensive Midfield,"[114.0, 38.7]",0.368666,,Saved,Open Play,303731,,0,False
125985,497856b8-b067-46f0-a05d-0460263776e8,50,Barcelona,From Free Kick,Barcelona,Ivan Rakitić,"[117.9, 37.2, 1.0]",Right Center Midfield,"[114.5, 32.9]",0.3724,,Saved,Open Play,303731,,0,False
125993,8034279a-0e32-4be1-8f1d-433a5984e056,78,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[119.4, 38.2, 3.4]",Right Wing,"[91.4, 37.9]",1.140984,,Saved Off Target,Free Kick,303731,,0,False
125994,17c2fd69-d646-41c9-8b1f-b34c210463dd,86,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 37.6, 0.4]",Right Wing,"[116.2, 36.1]",0.155287,,Goal,Open Play,303731,,1,True
125995,01b7fed8-2356-4480-8c1b-53ca8aea55a4,88,Barcelona,Regular Play,Barcelona,Martin Braithwaite Christensen,"[115.2, 34.4, 0.5]",Center Forward,"[110.7, 29.4]",0.295647,True,Saved,Open Play,303731,,0,False
125996,c022225f-69b6-41d2-97c5-f9fd1bdd3193,88,Barcelona,Regular Play,Barcelona,Arthur Henrique Ramos de Oliveira Melo,"[120.0, 41.6, 0.4]",Left Center Midfield,"[114.4, 42.4]",0.350453,,Goal,Open Play,303731,,1,True
125999,4a1cd66f-ca60-41ec-89e4-481a38880c14,29,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[120.0, 45.6, 3.1]",Center Forward,"[109.1, 39.0]",1.060428,True,Off T,Open Play,303532,,0,False
126000,170a76d3-68ad-4d9b-b15c-5ed4dc43cc0b,39,Barcelona,From Corner,Barcelona,Clément Lenglet,"[120.0, 73.6, 0.2]",Left Center Back,"[110.7, 37.2]",3.349752,,Off T,Open Play,303532,True,0,False
126001,6c4e31fd-e8df-4711-997b-cb89b1e6a022,41,Barcelona,From Throw In,Barcelona,Anssumane Fati,"[120.0, 42.4, 0.1]",Left Wing,"[103.0, 33.2]",1.237695,,Goal,Open Play,303532,True,1,True
126002,2fde3691-becc-4214-85dd-660323929c35,43,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 34.0, 1.0]",Right Wing,"[109.7, 38.7]",1.001937,,Off T,Open Play,303532,True,0,False
