,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure
125972,506091c2-705d-43f7-8c6c-b1e919b23b9f,3,Eibar,From Throw In,Eibar,Gonzalo Escalante,"[118.6, 36.7, 0.2]",Center Attacking Midfield,"[105.9, 35.9]",1.011698,,Saved,Open Play,303731,
125973,11c3aa70-f0f7-4675-a07e-34068cc6c7ce,10,Eibar,From Throw In,Eibar,Takashi Inui,"[118.6, 36.6, 0.2]",Left Wing,"[101.3, 20.3]",1.207457,,Saved,Open Play,303731,
125974,cf0fc241-1826-4478-abde-b9780d25e125,13,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.5, 0.6]",Right Wing,"[106.0, 34.8]",1.186072,,Goal,Open Play,303731,
125975,7abb6767-1463-45cb-8f83-e2acbd935375,17,Barcelona,From Free Kick,Eibar,Papa Kouly Diop,"[120.0, 46.2, 6.5]",Right Defensive Midfield,"[97.9, 56.9]",1.268529,,Off T,Open Play,303731,
125976,29ac15b8-6cca-4b6d-8c16-d33e86c4912d,18,Barcelona,From Free Kick,Barcelona,Antoine Griezmann,"[110.0, 48.8]",Center Forward,"[109.2, 49.5]",0.149926,,Blocked,Open Play,303731,
125977,fc629f72-571d-4040-b502-d47a10e9d0fd,18,Barcelona,From Free Kick,Barcelona,Arturo Erasmo Vidal Pardo,"[118.2, 35.7, 1.4]",Left Wing,"[111.7, 23.7]",0.551778,True,Saved,Open Play,303731,
125978,5a29db99-e2a5-4d23-9d25-22a4a0b1a849,18,Barcelona,From Free Kick,Barcelona,Arturo Erasmo Vidal Pardo,"[120.0, 35.5, 1.3]",Left Wing,"[116.5, 27.8]",0.432234,,Off T,Open Play,303731,
125979,e24091f2-6fc2-478b-b38d-ce7936d8602a,29,Eibar,Regular Play,Eibar,Gonzalo Escalante,"[120.0, 40.5, 7.4]",Center Attacking Midfield,"[102.3, 42.9]",0.868113,,Off T,Open Play,303731,
125980,e43a2545-f307-4bb9-a810-01afb1498351,36,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.6, 0.2]",Right Wing,"[111.7, 27.3]",0.95612,True,Goal,Open Play,303731,
125981,1c0c7ac1-f01c-4f6d-9c51-3e97154fa119,39,Eibar,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 39.6, 0.3]",Right Wing,"[110.5, 43.7]",0.728709,,Goal,Open Play,303731,
125982,d02d18b5-6b39-4d95-a249-2a3af105d8e6,42,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[117.0, 37.6, 1.3]",Center Forward,"[108.5, 31.7]",0.379514,,Saved,Open Play,303731,
125983,fce2f470-5300-4e10-92b7-74389fc040e7,42,Barcelona,Regular Play,Barcelona,Sergio Busquets i Burgos,"[116.5, 38.9, 0.7]",Center Defensive Midfield,"[114.0, 38.7]",0.368666,,Saved,Open Play,303731,
125984,e4a2e231-1185-4aa8-ba70-6a715e76d6ee,47,Eibar,Regular Play,Eibar,Gonzalo Escalante,"[108.4, 40.5]",Center Attacking Midfield,"[107.2, 40.3]",0.109106,,Blocked,Open Play,303731,
125985,497856b8-b067-46f0-a05d-0460263776e8,50,Barcelona,From Free Kick,Barcelona,Ivan Rakitić,"[117.9, 37.2, 1.0]",Right Center Midfield,"[114.5, 32.9]",0.3724,,Saved,Open Play,303731,
